stage,split_digest,fold,lane,row_type,seed_or_group,cold_start_policy,prediction_sha256,score_mask_digest,compatibility_mask_digest,teacher_forcing_ratio,cross_video_state_carry,rollout_all_finite,pooled_continuous_spearman,top_1pct_true_future_movement_lift,top_5pct_true_future_movement_lift,top_10pct_true_future_movement_lift,training_q90_future_event_pr_auc,event_threshold,event_prevalence,first30_pooled_continuous_spearman,first30_top_5pct_true_future_movement_lift,first30_training_q90_future_event_pr_auc,prediction_rows,prediction_finite_fraction,prediction_digest,compat_pooled_continuous_spearman,compat_top_1pct_true_future_movement_lift,compat_top_5pct_true_future_movement_lift,compat_top_10pct_true_future_movement_lift,compat_training_q90_future_event_pr_auc,compat_event_threshold,compat_event_prevalence,compat_first30_pooled_continuous_spearman,compat_first30_top_5pct_true_future_movement_lift,compat_first30_training_q90_future_event_pr_auc,compat_prediction_rows,compat_prediction_finite_fraction,compat_prediction_digest
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_distilled_temporal,member,20260718,row0_zero_history_no_label_burnin,00085c18318f0c0abbbf11d643b5598d04ed6474c618664b750068543d62621b,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.08303462098295834,0.03292522782061117,0.017540449538198784,0.011964603986822482,0.0967104188799758,0.222222222,0.09090238051300978,0.022917754273028227,0.020922913920325234,0.09937235120733466,54190,1.0,6f330e64e6e04d3311f4eec2108fce54,0.08354150888857109,0.033653818125169745,0.018153391002966084,0.012911126383082276,0.09622619754239062,0.222222222,0.09011682506292025,0.03482513719088149,0.02440687966148905,0.09928717711956264,53242,1.0,6e7e05d8b5249da91e1f0dd5404623df
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_distilled_temporal,member,20260719,row0_zero_history_no_label_burnin,595e2c47f465b69ee66de232af5c6ea12aaf33dd511473286598ff18213149ce,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.10198351197724692,0.033376535554641894,0.026099577488435284,0.018912168517384316,0.09700324449004784,0.222222222,0.09090238051300978,0.040034855928980075,0.021085021576736904,0.0991088212604355,54190,1.0,a0d932afba242b6619f6712bc03781e2,0.09581151077631062,0.031704353522773,0.022155557884959466,0.01442189946758269,0.09489865509507558,0.222222222,0.09011682506292025,0.024617272319671413,0.019645088515714643,0.09340730179580717,53242,1.0,9627adb5e559a4814845cf7579f15c2d
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_distilled_temporal,member,20260720,row0_zero_history_no_label_burnin,371fa49241aed2b83142c66132ee953e66c688c89dc6ae7a3790cf4d15e61e4b,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.10452815181227543,0.03268468628980135,0.028907726365219856,0.022730530016774962,0.0962051297300078,0.222222222,0.09090238051300978,0.05841119618518989,0.02376353074648893,0.10121383740035828,54190,1.0,cabae26a40a9a8b3f051d96287573048,0.09842197536955806,0.039236467765724044,0.023938994668811643,0.019348909833980334,0.09408485121126356,0.222222222,0.09011682506292025,0.04601729322001919,0.026569023126613966,0.09614612905790706,53242,1.0,54e2e86dbdccb0f24fa3e36cccc7e5ca
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_distilled_temporal,ensemble,20260718_20260719_20260720,row0_zero_history_no_label_burnin,404b67117733de1030f6fd0e795a196f2b241b8b85b9e9b3e36af13e8fc31d31,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.10202914880283008,0.03895531620662849,0.02675492034967108,0.020959326374643213,0.09664588395005054,0.222222222,0.09090238051300978,0.04922433879805548,0.02698514223053619,0.10092680850819424,54190,1.0,5b81b9c22bc5d8e6acd2040122472bef,0.09645570441012942,0.04046474011936093,0.023666361568815568,0.018088420691456476,0.09517612177592853,0.222222222,0.09011682506292025,0.03878666110935082,0.02778489384690655,0.09794486171816744,53242,1.0,956b3c3746044c5243e15e0ce872c0c0
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_closed_loop_rollout,member,20260718,row0_zero_history_no_label_burnin,c7765b51aff47b9d1134b1b24f4128038f5d378836cf637185ac243ecd194665,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.06281292324602815,0.05530849201330513,0.023937652930847618,0.013703650903618282,0.09809859799127388,0.222222222,0.09090238051300978,0.06643758308785122,0.03953788782621523,0.10947717344858615,54190,1.0,ee56f9ed0102b479c595bbdd58e0c00c,0.05437904859523773,0.022826076484506068,0.014965059169041374,0.008622974319491182,0.09450429749204653,0.222222222,0.09011682506292025,0.045851489934891285,0.017331844020532353,0.10014754050535186,53242,1.0,88824712ebbd74584c42373ba431c2eb
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_closed_loop_rollout,member,20260719,row0_zero_history_no_label_burnin,de5beb9aabb8a70798229af7d2eab25e04e9d960f455873cae3b7177a3fc0ff3,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.05839767857234919,0.044225403667203504,0.02035289662422369,0.012265559701054883,0.09927362709090402,0.222222222,0.09090238051300978,0.053688800966791586,0.03270949338428397,0.10875767765176161,54190,1.0,83c50e345aaecfa5f4070886ac9febd9,0.049823026774210986,0.012798578814101437,0.011612986910508057,0.006814541792949928,0.09617757730212786,0.222222222,0.09011682506292025,0.03301573081764695,0.006541733207749242,0.10049728702574366,53242,1.0,327755b1c1e809567e41c0564c4d0e28
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_closed_loop_rollout,member,20260720,row0_zero_history_no_label_burnin,bdd19a4dfe96eb8486e73f71270360b818e750f3db064d9ee906c2f2eba284f9,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.06508030311457495,0.05293524774926985,0.026005161761697863,0.016162254839388927,0.10039672886072123,0.222222222,0.09090238051300978,0.06479219103878922,0.039554249368773844,0.11039925091923669,54190,1.0,d0a6fd1f28f963430f3b6e20723f89c4,0.05659865868180933,0.043017327955253225,0.015918194615815666,0.009731427277852873,0.09808776794993286,0.222222222,0.09011682506292025,0.044067347733715755,0.02427587022307423,0.10236962029042936,53242,1.0,f91c692d72e23f0ca4216bb70e7f522e
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_closed_loop_rollout,ensemble,20260718_20260719_20260720,row0_zero_history_no_label_burnin,34b72498c9cc7f8e4dacd7905374812bd1b9ca77559a5780c74f598010b96a5e,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,0.0,0.0,True,0.07873115967952576,0.05549809137290974,0.02619875144921236,0.0188973601921893,0.10057354268045238,0.222222222,0.09090238051300978,0.08106265731314068,0.039459579637263015,0.11307524778113098,54190,1.0,b542bd3354788e95940928d9b6b10cc3,0.07090809837383992,0.03239913078178475,0.01774274333861859,0.01547539243141214,0.098195187638277,0.222222222,0.09011682506292025,0.0639978852765091,0.023688302466319824,0.10841109220781295,53242,1.0,35a9dd042f6c49a6d442574db6d75878
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_temporal,member,20260718,row0_zero_history_no_label_burnin,eb7fc2a735475cd5b79478905e3220bc226fb2e434dbb65c67a7ec461f095121,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.1399426841118064,0.03263645980989222,0.03821914453000954,0.0362661335785413,0.12042136613732549,0.222222222,0.09090238051300978,0.14439341246786305,0.038235393991322295,0.11677148235507748,54190,1.0,632c4db841e244aef62100f6a80e2885,0.13648268185226672,0.03127715894527635,0.03827039552508028,0.036117061972934565,0.11960736191190344,0.222222222,0.09011682506292025,0.1384126544206113,0.035708631697849394,0.11366148698846268,53242,1.0,f9de377fe0acf10634bd07d8c9a5d2fe
stage_a,5f17eef6b600bbb33527efaa690cd715,1,video_supervised_temporal,member,20260719,row0_zero_history_no_label_burnin,b1b4b6ab8b9ab1da53af2735cca4cb0f0bc7bbcead5c5aa65d1cf468cc50837f,ede328bbc8715fbba0b39ff270d86928,017ee38966c3bc1ff2f2a874f4867094,,,True,0.11370412689816162,0.05154216198990525,0.045729016071197025,0.036929570202821775,0.12309741894802809,0.222222222,0.09090238051300978,0.14725407808817279,0.04143543288487754,0.12394010004617373,54190,1.0,bcdb6db75ebaed6229ef0f195b0915b3,0.10856873584915834,0.05952488297117512,0.04357157662307878,0.036741165243114556,0.12317583612236649,0.222222222,0.09011682506292025,0.14033763424586454,0.04414377260962593,0.12223796688913378,53242,1.0,d6663cf8ddd5a1fb25b3dd4ea98273eb
